City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
12,Cayenne,GF,75.24,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
14,Kapaa,US,79.12,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
15,Butaritari,KI,81.46,few clouds,3.0707,172.7902,Isles Sunset Lodge
21,Hilo,US,81.63,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
23,San Policarpo,PH,81.16,overcast clouds,12.1791,125.5072,Agapita M. Nicart
25,Nicoya,CR,82.29,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
26,Houma,US,89.6,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
35,Labrea,BR,86.59,scattered clouds,-7.2586,-64.7981,Hotel Novo Horizonte
40,Bambous Virieux,MU,76.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
43,Kirakira,SB,78.85,few clouds,-10.4544,161.9205,SanBiz Lodge
47,Gat,IL,82.4,overcast clouds,31.61,34.7642,OlusHome
53,Karratha,AU,76.12,light rain,-20.7377,116.8463,ibis Styles Karratha
61,Jalu,LY,75.56,clear sky,29.0331,21.5482,صاحبة الفخامة
62,Manokwari,ID,78.03,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
64,Cabo San Lucas,MX,84.61,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
70,Pitimbu,BR,86.59,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
75,Atuona,PF,77.2,clear sky,-9.8,-139.0333,Villa Enata
77,Faridpur,BD,80.98,clear sky,23.6,89.8333,Progoti Muslim hostel
87,Miguel Hidalgo,MX,79.43,broken clouds,19.4225,-99.2028,JW Marriott Hotel Mexico City
88,Turayf,SA,82.65,clear sky,31.6725,38.6637,Turaif
89,Bengkulu,ID,76.08,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
93,Isangel,VU,77.65,light rain,-19.55,169.2667,Tanna Lodge
94,Yenagoa,NG,77.49,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
98,Hithadhoo,MV,83.23,scattered clouds,-0.6,73.0833,Scoop Guest House
107,Waingapu,ID,77.29,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
109,Narasannapeta,IN,83.79,overcast clouds,18.4167,84.05,AVK events and catering
113,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
117,Hamilton,US,88.92,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
120,Lazaro Cardenas,MX,83.75,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
125,Itarema,BR,82.56,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
127,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
130,Ormara,PK,81.82,clear sky,25.2088,64.6357,Kenara Colony house for Rent
136,Pedra Azul,BR,79.23,overcast clouds,-16.0053,-41.2972,Pousada Pedra Azul
137,Maceio,BR,76.44,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
138,Kalmunai,LK,82.26,overcast clouds,7.4167,81.8167,VS Villa
144,Russell,US,89.91,few clouds,32.3502,-85.1999,Macs
145,Vaini,TO,77.13,overcast clouds,-21.2,-175.2,Keleti Beach Resort
148,Kloulklubed,PW,82.72,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
149,Dingle,PH,77.14,light rain,10.9995,122.6711,SEGAYA PROPERTY
150,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
151,Puerto Ayora,EC,76.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
152,Ibra,OM,86.56,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
156,Banda Aceh,ID,80.73,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
158,Malakal,SS,87.08,overcast clouds,9.5334,31.6605,Nile Palace Hotel
160,Vilhena,BR,78.6,overcast clouds,-12.7406,-60.1458,Hotel Mirage
166,Port Blair,IN,83.26,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
