City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cayenne,GF,2022-05-09 20:26:45,4.9333,-52.3333,84.24,1,75,11.5
1,Nur,PL,2022-05-09 20:31:29,52.6683,22.3221,42.39,67,56,5.53
2,Albany,US,2022-05-09 20:31:30,42.6001,-73.9662,73.33,17,0,9.78
3,Nemuro,JP,2022-05-09 20:31:31,43.3236,145.575,44.8,67,42,22.97
4,Cerrito,CO,2022-05-09 20:31:32,6.8432,-72.694,60.55,89,100,0.63
5,Ushuaia,AR,2022-05-09 20:31:32,-54.8,-68.3,44.22,81,20,19.57
6,Sao Filipe,CV,2022-05-09 20:31:33,14.8961,-24.4956,72.68,81,20,9.75
7,Clyde River,CA,2022-05-09 20:31:33,70.4692,-68.5914,23.23,86,100,29.93
8,Pevek,RU,2022-05-09 20:31:33,69.7008,170.3133,26.55,80,99,8.34
9,Hithadhoo,MV,2022-05-09 20:31:34,-0.6,73.0833,84.52,77,72,21.34
10,Kapaa,US,2022-05-09 20:28:51,22.0752,-159.319,80.58,76,40,18.41
11,Qaanaaq,GL,2022-05-09 20:31:35,77.484,-69.3632,20.68,79,45,3.04
12,Rikitea,PF,2022-05-09 20:31:35,-23.1203,-134.9692,76.12,68,14,10.22
13,Kaitangata,NZ,2022-05-09 20:31:36,-46.2817,169.8464,46.0,86,59,4.29
14,Busselton,AU,2022-05-09 20:31:36,-33.65,115.3333,55.24,88,21,2.42
15,Airai,TL,2022-05-09 20:31:37,-8.9266,125.4092,57.31,73,98,2.53
16,Provideniya,RU,2022-05-09 20:31:37,64.3833,-173.3,32.65,84,8,8.05
17,Bethel,US,2022-05-09 20:31:38,41.3712,-73.414,71.47,25,0,13.8
18,Moron,AR,2022-05-09 20:31:38,-34.6534,-58.6198,69.96,63,100,3.96
19,Punta Arenas,CL,2022-05-09 20:31:39,-53.15,-70.9167,48.22,76,20,26.46
20,Mataura,NZ,2022-05-09 20:31:39,-46.1927,168.8643,48.47,96,96,1.07
21,Castro,BR,2022-05-09 20:31:40,-24.7911,-50.0119,61.14,82,85,4.59
22,Carnarvon,AU,2022-05-09 20:31:40,-24.8667,113.6333,66.27,68,98,8.05
23,Winnemucca,US,2022-05-09 20:31:41,40.973,-117.7357,42.85,56,40,20.71
24,Peniche,PT,2022-05-09 20:31:41,39.3558,-9.3811,61.29,90,76,12.62
25,Husavik,IS,2022-05-09 20:31:42,66.0449,-17.3389,37.94,97,100,9.08
26,Jamestown,US,2022-05-09 20:30:27,42.097,-79.2353,75.52,20,0,4.61
27,At-Bashi,KG,2022-05-09 20:31:42,41.1702,75.8106,61.25,41,75,1.43
28,Mastung,PK,2022-05-09 20:31:43,29.7994,66.845,73.56,15,37,2.46
29,Rio Gallegos,AR,2022-05-09 20:31:43,-51.6226,-69.2181,50.05,71,0,20.71
30,Whitehorse,CA,2022-05-09 20:30:26,60.7161,-135.0538,54.37,20,75,18.41
31,Sao Felix Do Xingu,BR,2022-05-09 20:31:44,-6.6447,-51.995,80.28,72,53,1.43
32,Lavrentiya,RU,2022-05-09 20:31:45,65.5833,-171.0,29.28,79,11,4.16
33,Avarua,CK,2022-05-09 20:31:45,-21.2078,-159.775,81.34,78,65,13.58
34,Dhidhdhoo,MV,2022-05-09 20:31:46,6.8833,73.1,85.15,72,100,21.47
35,New Norfolk,AU,2022-05-09 20:31:46,-42.7826,147.0587,44.92,82,49,1.01
36,Kikwit,CD,2022-05-09 20:31:46,-5.041,18.8162,74.84,84,55,0.6
37,Ostrovnoy,RU,2022-05-09 20:31:47,68.0531,39.5131,32.34,80,9,19.3
38,Moissala,TD,2022-05-09 20:31:47,8.3404,17.7663,82.89,51,60,4.34
39,Pestovo,RU,2022-05-09 20:31:49,58.5938,35.8024,33.55,69,8,6.42
40,Tuktoyaktuk,CA,2022-05-09 20:31:50,69.4541,-133.0374,39.2,65,100,11.5
41,Akdagmadeni,TR,2022-05-09 20:31:50,39.6603,35.8836,38.95,89,5,3.78
42,Mar Del Plata,AR,2022-05-09 20:31:52,-38.0023,-57.5575,55.94,81,75,12.66
43,Skibbereen,IE,2022-05-09 20:31:52,51.55,-9.2667,54.1,85,100,15.14
44,Yumen,CN,2022-05-09 20:31:52,40.2833,97.2,53.06,26,100,9.35
45,Isabela,PH,2022-05-09 20:32:53,6.7085,121.9711,80.06,86,100,5.82
46,Barrow,US,2022-05-09 20:28:05,71.2906,-156.7887,30.22,93,100,11.5
47,Goderich,CA,2022-05-09 20:32:54,43.7501,-81.7165,71.92,23,40,12.66
48,Lepaterique,HN,2022-05-09 20:32:54,14.0667,-87.4667,62.2,79,100,1.83
49,Kaeo,NZ,2022-05-09 20:32:55,-35.1,173.7833,54.32,96,17,5.1
50,Geraldton,AU,2022-05-09 20:32:55,-28.7667,114.6,61.21,88,99,9.22
51,Butaritari,KI,2022-05-09 20:32:56,3.0707,172.7902,81.3,75,16,19.8
52,Vostok,RU,2022-05-09 20:32:56,46.4856,135.8833,45.21,59,1,5.99
53,Vao,NC,2022-05-09 20:32:57,-22.6667,167.4833,74.7,62,93,16.28
54,Mujiayingzi,CN,2022-05-09 20:32:57,42.1167,118.7833,43.3,69,15,7.14
55,Labuhan,ID,2022-05-09 20:32:58,-6.8844,112.2051,79.61,88,100,6.91
56,Bowen,AU,2022-05-09 20:32:58,-20.0167,148.2333,75.65,84,99,21.12
57,Tezu,IN,2022-05-09 20:32:59,27.9167,96.1667,70.43,86,25,3.71
58,Raton,US,2022-05-09 20:32:59,36.9034,-104.4391,82.74,7,0,33.38
59,Hilo,US,2022-05-09 20:30:44,19.7297,-155.09,83.28,63,20,5.99
60,Hobyo,SO,2022-05-09 20:33:00,5.3505,48.5268,83.17,70,99,17.87
61,Esperance,AU,2022-05-09 20:33:01,-33.8667,121.9,57.04,44,34,15.14
62,Qui Nhon,VN,2022-05-09 20:33:01,13.7667,109.2333,76.6,90,56,3.44
63,Hobart,AU,2022-05-09 20:33:02,-42.8794,147.3294,45.27,89,0,9.22
64,Gravdal,NO,2022-05-09 20:33:02,68.1214,13.5031,41.88,97,100,25.88
65,Itarema,BR,2022-05-09 20:33:03,-2.9248,-39.9167,75.7,94,100,5.82
66,Ushtobe,KZ,2022-05-09 20:33:04,45.2514,77.9838,57.92,30,71,12.64
67,Cockburn Town,TC,2022-05-09 20:33:04,21.4612,-71.1419,79.9,75,100,4.47
68,Cape Town,ZA,2022-05-09 20:33:05,-33.9258,18.4232,55.11,86,0,0.0
69,Marsh Harbour,BS,2022-05-09 20:33:05,26.5412,-77.0636,75.33,69,64,16.02
70,Tasiilaq,GL,2022-05-09 20:33:06,65.6145,-37.6368,35.76,65,94,4.85
